Ver,Dataset,Display Name,Column ID,Category,Spec,Req's,Column Type,Feature Level,Condition,Deprecated,Removed,Allows Nulls,Data Type,Value Format,Allowed Values,Description
1.2,Cost and Usage,Pricing Currency Effective Cost,PricingCurrencyEffectiveCost,Pricing,🔗,🔗,Metric,Conditional,Supports prices in virtual currency and publishes unit prices exclusive of discounts,False,False,True,Decimal,Decimal (any),n/a,"The cost of the charge after applying all reduced rates, discounts, and the applicable portion of relevant, prepaid purchases (one-time or recurring) that covered this charge, as denominated in Pricing Currency."
1.2,Cost and Usage,Pricing Currency List Unit Price,PricingCurrencyListUnitPrice,Pricing,🔗,🔗,Metric,Conditional,Supports prices in virtual currency and publishes unit prices exclusive of discounts,False,False,True,Decimal,Decimal (non-negative),n/a,"The suggested service-provider-published unit price for a single Pricing Unit of the associated SKU, exclusive of any discounts and expressed in Pricing Currency."
1.0,Cost and Usage,Pricing Quantity,PricingQuantity,Pricing,🔗,🔗,Metric,Mandatory,n/a,False,False,True,Decimal,Decimal (any),n/a,"The volume of a given SKU associated with a resource or service used or purchased, based on the Pricing Unit."
1.0,Cost and Usage,Pricing Unit,PricingUnit,Pricing,🔗,🔗,Dimension,Mandatory,n/a,False,False,True,String,Unit,n/a,"Service-provider-specified measurement unit for determining unit prices, indicating how the service provider rates measured usage and purchase quantities after applying pricing rules like block pricing."
0.5,Cost and Usage,Provider,ProviderName,Charge Origination,🔗,🔗,Dimension,Mandatory,n/a,True,False,False,String,Unspecified,n/a,The name of the entity that made the resources or services available for purchase.
0.5,Cost and Usage,Publisher,PublisherName,Charge Origination,🔗,🔗,Dimension,Mandatory,n/a,True,False,False,String,Unspecified,n/a,The name of the entity that produced the resources or services that were purchased.
0.5,Cost and Usage,Region ID,RegionId,Location,🔗,🔗,Dimension,Conditional,Supports deploying resources or services within a region,False,False,True,String,Unspecified,n/a,Host-provider-assigned identifier for an isolated geographic area where a resource is provisioned or a service is provided.
1.0,Cost and Usage,Region Name,RegionName,Location,🔗,🔗,Dimension,Conditional,Supports deploying resources or services within a region,False,False,True,String,Unspecified,n/a,The name of an isolated geographic area where a resource is provisioned or a service is provided.
0.5,Cost and Usage,Resource ID,ResourceId,Resource,🔗,🔗,Dimension,Conditional,Supports billing based on provisioned resources,False,False,True,String,Unspecified,n/a,Identifier assigned to a resource by the service provider.
0.5,Cost and Usage,Resource Name,ResourceName,Resource,🔗,🔗,Dimension,Conditional,Supports billing based on provisioned resources,False,False,True,String,Unspecified,n/a,Display name assigned to a resource.
1.0,Cost and Usage,Resource Type,ResourceType,Resource,🔗,🔗,Dimension,Conditional,Supports billing based on provisioned resources and supports assigning types to resources,False,False,True,String,Unspecified,n/a,The kind of resource the charge applies to.
0.5,Cost and Usage,Service Category,ServiceCategory,Service,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,String,Allowed Values,"AI and Machine Learning, Analytics, Business Applications, Compute, Databases, Developer Tools, Multicloud, Identity, Integration, Internet of Things, Management and Governance, Media, Migration, Mobile, Networking, Security, Storage, Web, Other",Highest-level classification of a service based on the core function of the service.
0.5,Cost and Usage,Service Name,ServiceName,Service,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,String,Unspecified,n/a,"An offering that can be purchased from a service provider (e.g., cloud virtual machine, SaaS database, professional services from a systems integrator)."
1.3,Cost and Usage,Service Provider Name,ServiceProviderName,Charge Origination,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,String,Unspecified,n/a,The name of the entity that made the resources or services available for purchase or consumption.
1.1,Cost and Usage,Service Subcategory,ServiceSubcategory,Service,🔗,🔗,Dimension,Recommended,n/a,False,False,False,String,Allowed Values,See here for full list of ~150 values,Secondary classification of the Service Category for a service based on its core function.
1.0,Cost and Usage,SKU ID,SkuId,SKU,🔗,🔗,Dimension,Conditional,"Supports unit pricing concepts and publishes price lists, publicly or as part of contracting",False,False,True,String,Unspecified,n/a,"Service-provider-specified unique identifier that represents a specific SKU (e.g., a quantifiable good or service offering)."
1.1,Cost and Usage,SKU Meter,SkuMeter,SKU,🔗,🔗,Dimension,Conditional,"Supports unit pricing concepts and publishes price lists, publicly or as part of contracting",False,False,True,String,Unspecified,n/a,Describes the functionality being metered or measured by a particular SKU in a charge.
1.1,Cost and Usage,SKU Price Details,SkuPriceDetails,SKU,🔗,🔗,Dimension,Conditional,"Supports unit pricing concepts and publishes price lists, publicly or as part of contracting",False,False,True,JSON,Key-Value,n/a,A set of properties of a SKU Price ID which are meaningful and common to all instances of that SKU Price ID.
1.0,Cost and Usage,SKU Price ID,SkuPriceId,SKU,🔗,🔗,Dimension,Conditional,"Supports unit pricing concepts and publishes price lists, publicly or as part of contracting",False,False,True,String,Unspecified,n/a,A service-provider-specified unique identifier that represents a specific SKU Price associated with a resource or service used or purchased.
0.5,Cost and Usage,Sub Account ID,SubAccountId,Account,🔗,🔗,Dimension,Conditional,Supports a sub account construct,False,False,True,String,Unspecified,n/a,"An ID assigned to a grouping of resources or services, often used to manage access and/or cost."
0.5,Cost and Usage,Sub Account Name,SubAccountName,Account,🔗,🔗,Dimension,Conditional,Supports a sub account construct,False,False,True,String,Unspecified,n/a,"A name assigned to a grouping of resources or services, often used to manage access and/or cost."
1.2,Cost and Usage,Sub Account Type,SubAccountType,Account,🔗,🔗,Dimension,Conditional,Supports more than one possible SubAccountType value,False,False,True,String,Unspecified,n/a,A service-provider-assigned name to identify the type of sub account.
1.0,Cost and Usage,Tags,Tags,Resource,🔗,🔗,Dimension,Conditional,Supports setting user or provider-defined tags,False,False,True,JSON,Key-Value,n/a,The set of tags assigned to tag sources that account for potential provider-defined or user-defined tag evaluations.
1.3,Contract Commitment,Billing Currency,BillingCurrency,Contract,🔗,🔗,Dimension,Mandatory,n/a,False,False,True,String,Currency,n/a,Represents the currency of a contract commitment.
1.3,Contract Commitment,Contract Commitment Category,ContractCommitmentCategory,Contract,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,String,Allowed Values,"Spend, Usage",Represents the highest-level classification of a contract commitment based on the nature of how it is applied to a charge.
1.3,Contract Commitment,Contract Commitment Cost,ContractCommitmentCost,Contract,🔗,🔗,Metric,Mandatory,n/a,False,False,True,Numeric,Decimal (any),n/a,The monetary value of the contract commitment.
1.3,Contract Commitment,Contract Commitment Description,ContractCommitmentDescription,Contract,🔗,🔗,Dimension,Mandatory,n/a,False,False,True,String,Unspecified,n/a,The self-contained summary of the contract commitment's terms.
1.3,Contract Commitment,Contract Commitment ID,ContractCommitmentId,Contract,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,String,Unspecified,n/a,A service-provider-assigned identifier describing a single contract term agreed between a service provider and a customer.
1.3,Contract Commitment,Contract Commitment Period End,ContractCommitmentPeriodEnd,Contract,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,Date/Time,Date/Time,n/a,The exclusive end bound of a contract commitment period.
1.3,Contract Commitment,Contract Commitment Period Start,ContractCommitmentPeriodStart,Contract,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,Date/Time,Date/Time,n/a,The inclusive start bound of a contract commitment period.
1.3,Contract Commitment,Contract Commitment Quantity,ContractCommitmentQuantity,Contract,🔗,🔗,Metric,Mandatory,n/a,False,False,True,Numeric,Decimal (any),n/a,The amount associated with the contract commitment.
1.3,Contract Commitment,Contract Commitment Type,ContractCommitmentType,Contract,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,String,Unspecified,n/a,A service-provider-assigned name to identify the type of contract commitment.
1.3,Contract Commitment,Contract Commitment Unit,ContractCommitmentUnit,Contract,🔗,🔗,Dimension,Mandatory,n/a,False,False,True,String,Unit,n/a,A service-provider-specified measurement unit for the amount declared in Contract Commitment Quantity.
1.3,Contract Commitment,Contract ID,ContractId,Contract,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,String,Unspecified,n/a,A service-provider-assigned identifier for a contract describing the agreed terms between a service provider and a customer.
1.3,Contract Commitment,Contract Period End,ContractPeriodEnd,Contract,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,Date/Time,Date/Time,n/a,The exclusive end bound of a contract period.
1.3,Contract Commitment,Contract Period Start,ContractPeriodStart,Contract,🔗,🔗,Dimension,Mandatory,n/a,False,False,False,Date/Time,Date/Time,n/a,The inclusive start bound of a contract period.
